2023-08-28 01:16:33.997 | SUCCESS  | cellfunctions_:get_source:138 - 获取源码成功
2023-08-28 01:16:34.045 | ERROR    | cellfunctions_:get_source:126 - 366113图片不存在或者被删除了
2023-08-28 01:16:34.047 | ERROR    | cellfunctions_:get_source:127 - https://konachan.com/post/show/366113/
2023-08-28 01:16:34.084 | ERROR    | cellfunctions_:get_source:126 - 369653图片不存在或者被删除了
2023-08-28 01:16:34.086 | ERROR    | cellfunctions_:get_source:127 - https://konachan.com/post/show/369653/
2023-08-28 01:16:34.232 | ERROR    | cellfunctions_:get_source:126 - 363807图片不存在或者被删除了
2023-08-28 01:16:34.234 | ERROR    | cellfunctions_:get_source:127 - https://konachan.com/post/show/363807/
2023-08-28 01:16:34.446 | ERROR    | cellfunctions_:get_source:126 - 362164图片不存在或者被删除了
2023-08-28 01:16:34.448 | ERROR    | cellfunctions_:get_source:127 - https://konachan.com/post/show/362164/
2023-08-28 01:16:35.535 | ERROR    | cellfunctions_:get_source:126 - 367498图片不存在或者被删除了
2023-08-28 01:16:35.536 | ERROR    | cellfunctions_:get_source:127 - https://konachan.com/post/show/367498/
2023-08-28 01:16:37.696 | WARNING  | __mp_main__:<module>:32 - 代理: http://127.0.0.1:10809
2023-08-28 01:16:41.676 | SUCCESS  | cellfunctions_:save_img:247 - 下载图片成功
2023-08-28 01:16:41.678 | SUCCESS  | __main__:download_imgs:137 - downloaded 1 img ......
2023-08-28 01:16:41.681 | SUCCESS  | __main__:save_img_and_todb:229 - imported: F:\database_learn\k_spider\pictures10\360687.jpg
2023-08-28 01:16:41.703 | SUCCESS  | __main__:save_img_and_todb:265 - DataBase had added 1 img data...
2023-08-28 01:16:41.704 | SUCCESS  | __main__:mode_a:356 - totally DataBase had added 2 img data....
2023-08-28 01:46:02.498 | INFO     | __main__:<module>:397 - 获取headers.......
2023-08-28 01:46:02.499 | SUCCESS  | __main__:<module>:413 - 获取headers成功......
2023-08-28 01:46:02.500 | SUCCESS  | __main__:mode_a:302 - 单次下载数量:10
2023-08-28 01:46:02.501 | SUCCESS  | __main__:mode_a:303 - 并发数:10
2023-08-28 01:46:02.502 | SUCCESS  | __main__:mode_a:304 - 下载图片路径:F:\database_learn\k_spider\pictures10
2023-08-28 01:46:02.503 | SUCCESS  | __main__:mode_a:305 - 下载次数:2
2023-08-28 01:46:02.503 | INFO     | __main__:link_db:132 - 连接数据库中...........
2023-08-28 01:46:02.580 | SUCCESS  | __main__:link_db:155 - 图像数据表: kimg
2023-08-28 01:46:02.581 | SUCCESS  | __main__:link_db:156 - tag数据表: tags
2023-08-28 01:46:02.582 | SUCCESS  | __main__:link_db:158 - link dbas 准备导入数据.....
